Product Name,Region,Customer,Year,Items,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
BP_AC79,APAC,C_10005,FY18,Price,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0
BP_AC79,APAC,C_10005,FY18,Raw material,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0
BP_AC79,APAC,C_10005,FY18,package material,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0
BP_AC79,APAC,C_10005,FY18,direct cost,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
BP_AC79,APAC,C_10005,FY18,Volume,4684.0,4610.0,3389.0,4615.0,4393.0,3294.0,4661.0,3966.0,3632.0,3426.0,3472.0,4361.0
BP_0001,APAC,C_10007,FY18,Price,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
BP_0001,APAC,C_10007,FY18,Raw material,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0
BP_0001,APAC,C_10007,FY18,package material,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0
BP_0001,APAC,C_10007,FY18,direct cost,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
BP_0001,APAC,C_10007,FY18,Volume,2744.7,1481.55,173.25,274.05,1300.95,1900.5,2761.5,668.85,2661.75,1243.2,2907.45,2970.45
BP_A1AU,Austraila & New Zealand,C_10008,FY18,Price,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0
BP_A1AU,Austraila & New Zealand,C_10008,FY18,Raw material,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0
BP_A1AU,Austraila & New Zealand,C_10008,FY18,package material,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0
BP_A1AU,Austraila & New Zealand,C_10008,FY18,direct cost,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0
BP_A1AU,Austraila & New Zealand,C_10008,FY18,Volume,4286.7,4041.4,2977.7,3936.9,4007.3,3259.3,3890.7,3525.5,4308.7,3243.9,2244.0,3412.2
BP_A7S2,Austraila & New Zealand,C_10011,FY18,Price,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0
BP_A7S2,Austraila & New Zealand,C_10011,FY18,Raw material,79100.0,79100.0,79100.0,79100.0,79100.0,79100.0,79100.0,79100.0,79100.0,79100.0,79100.0,79100.0
BP_A7S2,Austraila & New Zealand,C_10011,FY18,package material,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0
BP_A7S2,Austraila & New Zealand,C_10011,FY18,direct cost,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0
BP_A7S2,Austraila & New Zealand,C_10011,FY18,Volume,4162.92,4079.3,2699.57,4084.95,3834.09,2592.22,4136.93,3351.58,2974.16,2741.38,2793.36,3797.93
BP_0281,USA & Canada,C_10015,FY18,Price,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0
BP_0281,USA & Canada,C_10015,FY18,Raw material,75936.0,75936.0,75936.0,75936.0,75936.0,75936.0,75936.0,75936.0,75936.0,75936.0,75936.0,75936.0
BP_0281,USA & Canada,C_10015,FY18,package material,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0,10848.0
BP_0281,USA & Canada,C_10015,FY18,direct cost,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4
BP_0281,USA & Canada,C_10015,FY18,Volume,3996.4032,3916.128,2591.5872,3921.552,3680.7264,2488.5312,3971.4528,3217.5168,2855.1936,2631.7248,2681.6256,3646.0128
BP_A1ND,APAC,C_10115,FY18,Price,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6
BP_A1ND,APAC,C_10115,FY18,Raw material,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2
BP_A1ND,APAC,C_10115,FY18,package material,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6
BP_A1ND,APAC,C_10115,FY18,direct cost,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48
BP_A1ND,APAC,C_10115,FY18,Volume,2797.48224,2741.2896,1814.11104,2745.0864,2576.50848,1741.97184,2780.01696,2252.26176,1998.63552,1842.20736,1877.13792,2552.20896
BP_AAHZ,USA & Canada,C_10117,FY18,Price,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96
BP_AAHZ,USA & Canada,C_10117,FY18,Raw material,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72
BP_AAHZ,USA & Canada,C_10117,FY18,package material,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96
BP_AAHZ,USA & Canada,C_10117,FY18,direct cost,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128
BP_AAHZ,USA & Canada,C_10117,FY18,Volume,3077.230464,3015.41856,1995.522144,3019.59504,2834.159328,1916.169024,3058.018656,2477.487936,2198.499072,2026.428096,2064.851712,2807.429856
