Product,Location,Customer,Year,Items,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
1,5,C_10007,FY18,Raw material,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000
1,5,C_10007,FY18,package material,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
1,5,C_10007,FY18,direct cost,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500
1,5,C_10007,FY18,Volume,2744.7,1481.55,173.25,274.05,1300.95,1900.5,2761.5,668.85,2661.75,1243.2,2907.45,2970.45
12,6,C_10008,FY18,Price,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
12,6,C_10008,FY18,Raw material,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
12,6,C_10008,FY18,package material,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
12,6,C_10008,FY18,direct cost,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450
12,6,C_10008,FY18,Volume,4286.7,4041.4,2977.7,3936.9,4007.3,3259.3,3890.7,3525.5,4308.7,3243.9,2244,3412.2
104,7,C_10011,FY18,Price,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300
104,7,C_10011,FY18,Raw material,79100,79100,79100,79100,79100,79100,79100,79100,79100,79100,79100,79100
104,7,C_10011,FY18,package material,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300
104,7,C_10011,FY18,direct cost,6215,6215,6215,6215,6215,6215,6215,6215,6215,6215,6215,6215
104,7,C_10011,FY18,Volume,4162.92,4079.3,2699.57,4084.95,3834.09,2592.22,4136.93,3351.58,2974.16,2741.38,2793.36,3797.93
5,2,C_10015,FY18,Price,10848,10848,10848,10848,10848,10848,10848,10848,10848,10848,10848,10848
5,2,C_10015,FY18,Raw material,75936,75936,75936,75936,75936,75936,75936,75936,75936,75936,75936,75936
5,2,C_10015,FY18,package material,10848,10848,10848,10848,10848,10848,10848,10848,10848,10848,10848,10848
5,2,C_10015,FY18,direct cost,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4,5966.4
5,2,C_10015,FY18,Volume,3996.4032,3916.128,2591.5872,3921.552,3680.7264,2488.5312,3971.4528,3217.5168,2855.1936,2631.7248,2681.6256,3646.0128
14,5,C_10115,FY18,Price,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6
14,5,C_10115,FY18,Raw material,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2,53155.2
14,5,C_10115,FY18,package material,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6,7593.6
14,5,C_10115,FY18,direct cost,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48,4176.48
14,5,C_10115,FY18,Volume,2797.48224,2741.2896,1814.11104,2745.0864,2576.50848,1741.97184,2780.01696,2252.26176,1998.63552,1842.20736,1877.13792,2552.20896
91,1,C_10117,FY18,Price,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96
91,1,C_10117,FY18,Raw material,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72,58470.72
91,1,C_10117,FY18,package material,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96
91,1,C_10117,FY18,direct cost,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128,4594.128
91,1,C_10117,FY18,Volume,3077.230464,3015.41856,1995.522144,3019.59504,2834.159328,1916.169024,3058.018656,2477.487936,2198.499072,2026.428096,2064.851712,2807.429856
